nameActual,nameNBA,nameBREF
pctFG3MasAssisted,PCT_AST_3PM,NA
pctFG3MasAssistedRank,PCT_AST_3PM_RANK,NA
pctFG3MasUnassisted,PCT_UAST_3PM,NA
pctFG3MasUnassistedRank,PCT_UAST_3PM_RANK,NA
pctFG3MOfTeam,PCT_FG3M,NA
pctFG3MOfTeam,PCT_FG3M,NA
pctFG3MOfTeamRank,PCT_FG3M_RANK,NA
pctFG3Opponent,OPP_FG3_PCT,NA
pctFG3OpponentRank,OPP_FG3_PCT_RANK,NA
pctFG3Rank,RANK_FG3_PCT,NA
pctFG3Rank,FG3_PCT_RANK,NA
pctFG3RankF,F_RANK_FG3_PCT,NA
pctFGAasFG2,PCT_FGA_2PT,NA
pctFGAasFG2Rank,PCT_FGA_2PT_RANK,NA
pctFGAasFG3,PCT_FGA_3PT,NA
pctFGAasFG3Rank,PCT_FGA_3PT_RANK,NA
pctFGAOfTeam,PCT_FGA,NA
pctFGAOfTeam,PCT_FGA,NA
pctFGAOfTeamRank,PCT_FGA_RANK,NA
pctFGAvg,NORMAL_FG_PCT,NA
pctFGContested,CFG_PCT,NA
pctFGDefending,D_FG_PCT,NA
pctFGMasAssisted,PCT_AST_FGM,NA
pctFGMasAssistedRank,PCT_AST_FGM_RANK,NA
pctFGMasUnassisted,PCT_UAST_FGM,NA
pctFGMasUnassistedRank,PCT_UAST_FGM_RANK,NA
pctFGMOfTeam,PCT_FGM,NA
pctFGMOfTeam,PCT_FGM,NA
pctFGMOfTeamRank,PCT_FGM_RANK,NA
pctFGOpponent,OPP_FG_PCT,NA
pctFGOpponentRank,OPP_FG_PCT_RANK,NA
pctFGPerGame,FGP,NA
pctFGRank,RANK_FG_PCT,NA
pctFGRank,FG_PCT_RANK,NA
pctFGRankF,F_RANK_FG_PCT,NA
pctFGRimDefended,DFG_PCT,NA
pctFGUncontested,UFG_PCT,NA
pctFrequency,Time,NA
pctFrequency,FREQUENCY,NA
pctFrequency,FREQ,NA
pctFT,FT_PCT,FT%
pctFT,FT_PCT,FT.
pctFTAOfTeam,PCT_FTA,NA
pctFTAOfTeam,PCT_FTA,NA
pctFTAOfTeamRank,PCT_FTA_RANK,NA
pctFTDrawn,FT,NA
pctFTMOfTeam,PCT_FTM,NA
pctFTMOfTeam,PCT_FTM,NA
pctFTMOfTeamRank,PCT_FTM_RANK,NA
pctFTOpponent,OPP_FT_PCT,NA
pctFTOpponentRank,OPP_FT_PCT_RANK,NA
pctFTPerGame,FTP,NA
pctFTRank,RANK_FT_PCT,NA
pctFTRank,FT_PCT_RANK,NA
pctFTRankF,F_RANK_FT_PCT,NA
pctFTRate,NA,FTr
pctLosses,lossPctV2,NA
pctLossRemove,lossPct,NA
pctOffenseMatchup,OFF_MATCHUP_PCT,NA
pctORB,NA,ORB.
pctOREB,OREB_PCT,NA
pctOREBOfTeam,PCT_OREB,NA
pctOREBOfTeam,PCT_OREB,NA
pctOREBOfTeamRank,PCT_OREB_RANK,NA
pctOREBOpponent,OPP_OREB_PCT,NA
pctOREBOpponentRank,OPP_OREB_PCT_RANK,NA
pctOREBRank,OREB_PCT_RANK,NA
pctPFDOfTeam,PCT_PFD,NA
pctPFDOfTeam,PCT_PFD,NA
pctPFDOfTeamRank,PCT_PFD_RANK,NA
pctPFOfTeam,PCT_PF,NA
pctPFOfTeam,PCT_PF,NA
pctPFOfTeamRank,PCT_PF_RANK,NA
pctPTSasFB,PCT_PTS_FB,NA
pctPTSasFBRank,PCT_PTS_FB_RANK,NA
pctPTSasFG2,PCT_PTS_2PT,NA
pctPTSasFG2asMR,PCT_PTS_2PT_MR,NA
pctPTSasFG2asMRRank,PCT_PTS_2PT_MR_RANK,NA
pctPTSasFG2Rank,PCT_PTS_2PT_RANK,NA
pctPTSasFT,PCT_PTS_FT,NA
pctPTSasFTRank,PCT_PTS_FT_RANK,NA
pctPTSasOffTOV,PCT_PTS_OFF_TOV,NA
pctPTSasOffTOVRank,PCT_PTS_OFF_TOV_RANK,NA
pctPTSasPaint,PCT_PTS_PAINT,NA
pctPTSasPaintRank,PCT_PTS_PAINT_RANK,NA
pctPTSOfTeam,PCT_PTS,NA
pctPTSOfTeam,PCT_PTS,NA
pctPTSOfTeamRank,PCT_PTS_RANK,NA
pctREBOfTeam,PCT_REB,NA
pctScore,Score,NA
pctShootingFoulDrawn,SF,NA
pctsPTSasFG3,PCT_PTS_3PT,NA
pctsPTSasFG3Rank,PCT_PTS_3PT_RANK,NA
pctSTL,NA,STL.
pctSTLOfTeam,PCT_STL,NA
pctSTLOfTeam,PCT_STL,NA
pctSTLOfTeamRank,PCT_STL_RANK,NA
pctTOV,TO_RATIO,TOV.
pctTOVE,E_TM_TOV_PCT,NA
pctTOVOfTeam,PCT_TOV,NA
pctTOVOfTeam,PCT_TOV,NA
pctTOVOfTeamRank,PCT_TOV_RANK,NA
pctTOVOpponent,OPP_TOV_PCT,NA
pctTOVOpponentRank,OPP_TOV_PCT_RANK,NA
pctTOVTeam,TM_TOV_PCT,NA
pctTOVTeam,TOV_PCT,NA
pctTOVTmRank,TM_TOV_PCT_RANK,NA
pctTRB,NA,TRB.
pctTREB,REB_PCT,NA
pctTREBContested,C_REB_PCT,NA
pctTREBOfTeam,PCT_REB,NA
pctTREBOfTeamRank,PCT_REB_RANK,NA
pctTREBRank,REB_PCT_RANK,NA
pctTREBUncontested,UC_REB_PCT,NA
pctTripleDouble,TPL_DBL,NA
pctTrueShooting,NA,TS.
pctTS,TS_PCT,NA
pctTSRank,TS_PCT_RANK,NA
pctUSG,USG_PCT,USG.
pctUSG,USG_PCT,USG.
pctUSG,USAGE_PCT,USG.
pctUSGE,E_USG_PCT,NA
pctUSGRank,USG_PCT_RANK,NA
pctWinProbAway,VISITOR_PCT,NA
pctWinProbHome,HOME_PCT,NA
pctWinRemove,winPct,NA
pctWins,W_PCT,NA
pctWins,WIN_PCT,NA
pctWins,winPctV2,NA
pctWinsRank,W_PCT_RANK,NA
pctWinTeam,WinPCT,NA
pctWinTeam,PCT,NA
pf,PF,PF
pf,pf,PF
pfd,PFD,NA
pfDefensiveDrawn,DEF_FOULS,NA
pfdOpponent,OPP_PFD,NA
pfdOpponentRank,OPP_PFD_RANK,NA
pfdRank,PFD_RANK,NA
pfNonShootingComitted,DEF_FLS,NA
pfOffensiveCommitted,OFF_FOULS,NA
pfOpponent,OPP_PF,NA
pfOpponentRank,OPP_PF_RANK,NA
pfPerGame,PFPG,NA
pfRank,PF_RANK,NA
pfRankF,F_RANK_PF,NA
pfShootingCommitted,SFL,NA
pieRank,PIE_RANK,NA
pip,pip,NA
pipa,pipa,NA
pipm,pipm,NA
plusminus,PLUS_MINUS,NA
plusminus,PLUSMINUS,NA
plusminus,pm,NA
plusminusRank,PLUS_MINUS_RANK,NA
poss,Poss,NA
possessions,POSS,NA
possPerGame,PossG,NA
potsOffTOVOpponentRank,OPP_PTS_OFF_TOV_RANK,NA
ppp,PPP,NA
pppBetterTeams,BetterPPP,NA
pppWorseTeams,WorsePPP,NA
pts,PTS,PS/G
pts,Points,PS/G
pts,pts,PS/G
pts,PTS,PTS
pts,Points,PTS
pts,pts,PTS
pts,PTS,PS.G
pts,Points,PS.G
pts,pts,PS.G
ptsDifference,PointDiff,NA
ptsFastBreak,PTS_FB,NA
ptsFastBreakOpponent,OPP_PTS_FB,NA
ptsFastBreakOpponentRank,OPP_PTS_FB_RANK,NA
ptsFastBreakRank,PTS_FB_RANK,NA
ptsMarginHome,HOME_SCORE_MARGIN,NA
ptsOffTOV,PTS_OFF_TO,NA
ptsOffTOV,PTS_OFF_TOV,NA
ptsOffTOVOpponent,OPP_PTS_OFF_TOV,NA
ptsOffTOVRank,PTS_OFF_TOV_RANK,NA
ptsOpponent,OPP_PTS,NA
ptsOpponent,OPPPTS,NA
ptsOpponentPerGame,OPPG,NA
ptsOpponentRank,OPP_PTS_RANK,NA
ptsOT1,PTS_OT1,NA
ptsOT10,PTS_OT10,NA
ptsOT2,PTS_OT2,NA
ptsOT3,PTS_OT3,NA
ptsOT4,PTS_OT4,NA
ptsOT5,PTS_OT5,NA
ptsOT6,PTS_OT6,NA
ptsOT7,PTS_OT7,NA
ptsOT8,PTS_OT8,NA
ptsOT9,PTS_OT9,NA
ptsPaint,PTS_PAINT,NA
ptsPaintOpponent,OPP_PTS_PAINT,NA
ptsPaintOpponentRank,OPP_PTS_PAINT_RANK,NA
ptsPaintRank,PTS_PAINT_RANK,NA
ptsPerGame,PPG,NA
ptsPerGameDiff,DiffPointsPG,NA
ptsPerGameOpponent,OppPointsPG,NA
ptsPerGameOpponent,OPP_PTS_PG,NA
ptsPerGameTeam,PointsPG,NA
ptsPerGameTeam,PTS_PG,NA
ptsPlayerAllowed,PLAYER_PTS,NA
ptsQ1,PTS_QTR1,NA
ptsQ2,PTS_QTR2,NA
ptsQ3,PTS_QTR3,NA
ptsQ4,PTS_QTR4,NA
ptsRank,RANK_PTS,NA
ptsRank,PTS_RANK,NA
ptsRankPer36,RANK_PMIN_PTS,NA
ptsRankPerGame,RANK_PG_PTS,NA
ptsScreenAssist,SCREEN_AST_PTS,NA
ptsSecondChance,PTS_2ND_CHANCE,NA
ptsSecondChanceOpponent,OPP_PTS_2ND_CHANCE,NA
ptsSecondChanceOpponentRank,OPP_PTS_2ND_CHANCE_RANK,NA
ptsSecondChanceRank,PTS_2ND_CHANCE_RANK,NA
ptsTeam,TMPTS,NA
ptsTeamAllowed,TEAM_PTS,NA
ptsTeamAwayLast,LAST_GAME_VISITOR_TEAM_POINTS,NA
ptsTeamHomeLast,LAST_GAME_HOME_TEAM_POINTS,NA
ptsTieBreaker,tieBreakerPts,NA
ptsTotalHome,HOME_PTS,NA
ptsTotalTeamAway,VISITOR_TEAM_PTS,NA
ptsTotalTeamHome,HOME_TEAM_PTS,NA
ptsTotalVisitor,VISITOR_PTS,NA
rangeDateFrom,DateFrom,NA
rangeDateTo,DateTo,NA
rangeDaysRest,TEAM_DAYS_REST_RANGE,NA
rangeDribble,DribbleRange,NA
rangeGeneral,GeneralRange,NA
rangeShotClock,ShotClockRange,NA
rangeShotDistance,DistanceRange,NA
rankConference,CONF_RANK,NA
rankConference,confRank,NA
rankCriteria,RANKING_CRITERIA,NA
rankDivision,DIV_RANK,NA
rankDivision,DivisionRank,NA
rankDivision,divRank,NA
rankFTA,FTA_RANK,NA
rankFTM,FTM_RANK,NA
rankPlayoffs,PlayoffRank,NA
rankSeedHigh,HIGH_SEED_RANK,NA
rankSeedLow,LOW_SEED_RANK,NA
rankTeam,LeagueRank,NA
rateFTA,FTA_RATE,NA
rateFTAOpponent,OPP_FTA_RATE,NA
rateFTAOpponentRank,OPP_FTA_RATE_RANK,NA
rateFTARank,FTA_RATE_RANK,NA
ratioAST,AST_RATIO,NA
ratioASTRank,AST_RATIO_RANK,NA
ratioASTtoTO,AST_TO,NA
ratioASTtoTORank,AST_TO_RANK,NA
ratioASTtoTOV,AST_TOV,NA
ratioBPM,NA,BPM
ratioDBPM,NA,DBPM
ratioDWS,NA,DWS
ratioOBPM,NA,OBPM
ratioOWS,NA,OWS
ratioPER,NA,PER
ratioPIE,PIE,NA
ratioSTLtoTOV,STL_TOV,NA
ratioVORP,NA,VORP
ratioWS,NA,WS
ratioWSPer48,NA,WS.48
reachStandingInches,STANDING_REACH,NA
reachStandingO,STANDING_REACH_FT_IN,NA
recordAheadAtHalf,AheadAtHalf,NA
recordAheadAtThird,AheadAtThird,NA
recordApr,Apr,NA
recordAug,Aug,NA
recordAway,ROAD,NA
recordAway,AWAY,NA
recordAway,ROAD_RECORD,NA
recordAway,VISITOR_WL,NA
recordBehindAtHalf,BehindAtHalf,NA
recordBehindAtThird,BehindAtThird,NA
recordConference,ConferenceRecord,NA
recordConference,CONF,NA
recordDec,Dec,NA
recordDivision,DIV,NA
RecordDivision,DivisionRecord,NA
recordFeb,Feb,NA
recordFewerTurnovers,FewerTurnovers,NA
recordHome,HOME,NA
recordHome,HOME_RECORD,NA
recordHome,HOME_WL,NA
recordJan,Jan,NA
recordJul,Jul,NA
recordJun,Jun,NA
recordLast10,L10,NA
recordLast10Away,Last10Road,NA
recordLast10Home,Last10Home,NA
recordLeadInFGPCT,LeadInFGPCT,NA
recordLeadInReb,LeadInReb,NA
recordMar,Mar,NA
recordNov,Nov,NA
recordOct,Oct,NA
recordOpponentOver500,OppOver500,NA
recordOpponentScore100PTS,OppScore100PTS,NA
recordOT,OT,NA
recordOverall,TEAM_WINS_LOSSES,NA
recordOverall,Record,NA
recordScore100PTS,Score100PTS,NA
recordSep,Sep,NA
recordTenPTSOrMore,TenPTSOrMore,NA
recordThreePTSOrLess,ThreePTSOrLess,NA
recordTiedAtHalf,TiedAtHalf,NA
recordTiedAtThird,TiedAtThird,NA
recordVsAtlantic,vsAtlantic,NA
recordVsCentral,vsCentral,NA
recordVsEast,vsEast,NA
recordVsMidwest,vsMidwest,NA
recordVsNorthwest,vsNorthwest,NA
recordVsPacific,vsPacific,NA
recordVsSoutheast,vsSoutheast,NA
recordVsSouthwest,vsSouthwest,NA
recordVsWest,vsWest,NA
reocrdMay,May,NA
repsBenchPress135,BENCH_PRESS,NA
resultGame,GAME_RESULT,NA
screenAssist,SCREEN_ASSISTS,NA
seasonYear,SeasonYear,NA
seconds,SECONDS,NA
seconds,sec,NA
secondsPossesions,POSS_SECONDS,NA
secondsPossesionsAvg,AVG_POSS_SEC,NA
secondsRemaining,SECONDS_REMAINING,NA
secondsTotal,totsec,NA
segmentGame,GameSegment,NA
segmentSeason,SEASON_SEGMENT,NA
segmentSeason,SeasonSegment,NA
setOffDrib15BreakLeft,OFF_DRIB_FIFTEEN_BREAK_LEFT,NA
setOffDrib15BreakRight,OFF_DRIB_FIFTEEN_BREAK_RIGHT,NA
setOffDribBreakLeftCollege,OFF_DRIB_COLLEGE_BREAK_LEFT,NA
setOffDribBreakRightCollege,OFF_DRIB_COLLEGE_BREAK_RIGHT,NA
setOffDribTopKeyCollege,OFF_DRIB_COLLEGE_TOP_KEY,NA
setOnMove15,ON_MOVE_FIFTEEN,NA
setOnMoveCollege,ON_MOVE_COLLEGE,NA
setSpot15BreakLeft,SPOT_FIFTEEN_BREAK_LEFT,NA
setSpot15BreakLeftCollege,SPOT_COLLEGE_BREAK_LEFT,NA
setSpot15BreakLeftNBA,SPOT_NBA_BREAK_LEFT,NA
setSpot15BreakRight,SPOT_FIFTEEN_BREAK_RIGHT,NA
setSpot15BreakRightCollege,SPOT_COLLEGE_BREAK_RIGHT,NA
setSpot15CornerLeft,SPOT_FIFTEEN_CORNER_LEFT,NA
setSpot15CornerLeftCollege,SPOT_COLLEGE_CORNER_LEFT,NA
setSpot15CornerLeftNBA,SPOT_NBA_CORNER_LEFT,NA
setSpot15CornerRight,SPOT_FIFTEEN_CORNER_RIGHT,NA
setSpot15CornerRightCollege,SPOT_COLLEGE_CORNER_RIGHT,NA
setSpot15TopKey,SPOT_FIFTEEN_TOP_KEY,NA
setSpot15TopKeyCollege,SPOT_COLLEGE_TOP_KEY,NA
setSpot15TopKeyNBA,SPOT_NBA_TOP_KEY,NA
setSpotBreakRightNBA,SPOT_NBA_BREAK_RIGHT,NA
setSpotCornerRightNBA,SPOT_NBA_CORNER_RIGHT,NA
setSpotOffDrib15TopKey,OFF_DRIB_FIFTEEN_TOP_KEY,NA
sideInjury,Injury_Side,NA
slugCIF,CFPARAMS,NA
slugGame,GAMECODE,NA
slugGame,gcode,NA
slugInjured,Injured,NA
slugMatchup,MATCHUP,NA
slugNetworkTVHome,HOME_TV_BROADCASTER_ABBREVIATION,NA
slugPlayer,PLAYERCODE,NA
slugPlayerBREF,NA,idPlayer
slugPlayoffClinch,ClinchIndicator,NA
slugPosition,pos,Pos
slugQuarterLive,LIVE_PERIOD_TIME_BCAST,NA
slugScope,Scope,NA
slugScore,SCORE,NA
slugSeason,SEASON_ID,slugSeason
slugSeason,SEASON_YEAR,slugSeason
slugSeason,Season,slugSeason
slugSeason,TimeFrame,slugSeason
slugSeason,YEAR,slugSeason
slugSeasonsWithTeam,SEASONSWITHTEAM,NA
slugStreakAwayCurrent,strCurrentRoadStreak,NA
slugStreakCurrent,strCurrentStreak,NA
slugStreakHomeCurrent,strCurrentHomeStreak,NA
slugStreakLongAway,strLongRoadStreak,NA
slugStreakLongHomeStreak,strLongHomeStreak,NA
slugTeam,TEAM_ABBREVIATION,NA
slugTeam,ABBREVIATION,NA
slugTeam,TEAM,NA
slugTeam,Team,NA
slugTeam,TeamNameAbbreviation,NA
slugTeam,PLAYER_LAST_TEAM_ABBREVIATION,NA
slugTeam,tricode,NA
slugTeam,ta,NA
slugTeamAway,VISITOR_TEAM_ABR,NA
slugTeamAway,VTM,NA
slugTeamAway,VISITOR_TEAM_ABBREVIATION,NA
slugTeamAwayLast,LAST_GAME_VISITOR_TEAM_CITY1,NA
slugTeamBREF,NA,Tm
slugTeamDefense,DEF_TEAM_ABBREVIATION,NA
slugTeamHome,HOME_TEAM_ABR,NA
slugTeamHome,HTM,NA
slugTeamHome,HOME_TEAM_ABBREVIATION,NA
slugTeamHomeLast,LAST_GAME_HOME_TEAM_ABBREVIATION,NA
slugTeamOffense,OFF_TEAM_ABBREVIATION,NA
slugTeamPlayer1,PLAYER1_TEAM_ABBREVIATION,NA
slugTeamPlayer2,PLAYER2_TEAM_ABBREVIATION,NA
slugTeamPlayer3,PLAYER3_TEAM_ABBREVIATION,NA
slugTeamURL,urlName,NA
slugTVBroadcaster,NATL_TV_BROADCASTER_ABBREVIATION,NA
slugTVNetworkAway,AWAY_TV_BROADCASTER_ABBREVIATION,NA
sortGroup,GroupSort,NA
st,st,NA
stateArena,as,NA
statusGame,stt,NA
statusInjury,Injured_Status,NA
statusPlayerGame,PLAYERGAMESTATUS,NA
stl,STL,STL
stl,stl,STL
stlOpponent,OPP_STL,NA
stlOpponentRank,OPP_STL_RANK,NA
stlPerGame,SPG,NA
stlRank,RANK_STL,NA
stlRank,STL_RANK,NA
stlRankF,F_RANK_STL,NA
stlRankPer36,RANK_PMIN_STL,NA
stlRankPerGame,RANK_PG_STL,NA
streakAwayCurrent,CurrentRoadStreak,NA
streakCurrent,CurrentStreak,NA
streakCurrent,streak,NA
streakHomeCurrent,CurrentHomeStreak,NA
streakLongAway,LongRoadStreak,NA
streakLongHome,LongHomeStreak,NA
streakLossLong,LongLossStreak,NA
streakWinLong,LongWinStreak,NA
strengthScheduleRemaining,SOSA_REMAINING,NA
td3,TD3,NA
td3Rank,TD3_RANK,NA
teamName,TEAM_NAME,NA
teamName,TEAM_NICKNAME,NA
teamName,NICKNAME,NA
teamName,nickname,NA
teamName,tn,NA
teamNameAway,VISITOR_TEAM_NICKNAME,NA
teamNameHome,HOME_TEAM_NICKNAME,NA
teamNamePlayer1,PLAYER1_TEAM_NICKNAME,NA
teamNamePlayer2,PLAYER2_TEAM_NICKNAME,NA
teamNamePlayer3,PLAYER3_TEAM_NICKNAME,NA
teamNameShortHigh,HIGH_SEED_TEAM,NA
teamNameShortLow,LOW_SEED_TEAM,NA
technicalfouls,tf,NA
timeGame,GAME_TIME,NA
timeGameLive,LIVE_PC_TIME,NA
timeLaneAgility,LANE_AGILITY_TIME,NA
timeModifiedLaneAgility,MODIFIED_LANE_AGILITY_TIME,NA
timeQuarter,PCTIMESTRING,NA
timeRemaining,cl,NA
timeStringWC,WCTIMESTRING,NA
timeThreeQuarterCourtSprint,THREE_QUARTER_SPRINT,NA
timeUTC,utctm,NA
tobTotal,TOTAL_TURNOVERS,NA
touches,TCHS,NA
tov,TOV,TOV
tov,TO,TOV
tov,tov,TOV
tovOpponent,OPP_TOV,NA
tovOpponentRank,OPP_TOV_RANK,NA
tovPerGame,TPG,NA
tovRank,RANK_TOV,NA
tovRank,TOV_RANK,NA
tovRankF,F_RANK_TOV,NA
tovRankPer36,RANK_PMIN_TOV,NA
tovRankPerGame,RANK_PG_TOV,NA
tovTeam,TEAM_TURNOVERS,NA
trb,NA,TRB
trbTeam,TEAM_REBOUNDS,NA
treb,REB,NA
treb,reb,NA
trebChances,RBC,NA
trebContested,C_REB,NA
trebFrequency,REB_FREQUENCY,NA
trebOpponent,OPP_REB,NA
trebOpponentRank,OPP_REB_RANK,NA
trebPerGame,TRPG,NA
trebPerGameTeam,REB_PG,NA
trebRank,RANK_REB,NA
trebRank,REB_RANK,NA
trebRankF,F_RANK_REB,NA
trebRankPer36,RANK_PMIN_REB,NA
trebRankPerGame,RANK_PG_REB,NA
trebUncontested,UC_REB,NA
typeAction,ACTION_TYPE,NA
typeBoxScore,BOX_TYPE,NA
typeDataSet,DATASET_TYPE,NA
typeDraftPick,DraftPick,NA
typeEvent,EVENT_TYPE,NA
typeFilter,OVERALL,NA
typeFilter,SHOT_TYPE_RANGE,NA
typeFilter,REB_NUM_CONTESTING_RANGE,NA
typeFilter,SHOT_CLOCK_RANGE,NA
typeFilter,DRIBBLE_RANGE,NA
typeFilter,CLOSE_DEF_DIST_RANGE,NA
typeFilter,TOUCH_TIME_RANGE,NA
typeFilter,SHOT_DIST_RANGE,NA
typeFilter,REB_DIST_RANGE,NA
typeFilter,DEFENSE_CATEGORY,NA
typeFilterSecondary,GROUP_VALUE_2,NA
typeGrid,GRID_TYPE,NA
typeInjury,Injury_Type,NA
typeMeasure,MeasureType,NA
typeOrganizationFrom,ORGANIZATION_TYPE,NA
typePass,PASS_TYPE,NA
typePlayerOnOff,COURT_STATUS,NA
typeSeason,SeasonType,NA
typeSeason,SEASON_TYPE,NA
typeSeason,seasonType,NA
typeSet,name,NA
typeShot,SHOT_TYPE,NA
typeTransaction,Transaction_Type,NA
urlAccount,WEBSITE_LINK,NA
urlData,NA,urlData
urlNBAJSON,next,NA
verticalLeapMaxInches,MAX_VERTICAL_LEAP,NA
verticalLeapStandingInches,STANDING_VERTICAL_LEAP,NA
vsConference,VsConference,NA
vsDivision,VsDivision,NA
weightKG,weightKilograms,NA
weightLBS,WEIGHT,NA
weightLBS,weightPounds,NA
widthHandInches,HAND_WIDTH,NA
wingspan,WINGSPAN_FT_IN,NA
wingspanInches,WINGSPAN,NA
wins,W,NA
wins,WINS,NA
wins,win,NA
winsAway,awayWin,NA
winsConference,confWin,NA
winsDivison,divWin,NA
winsHome,homeWin,NA
winsLast10,lastTenWin,NA
winsPlayoffSeedLigh,HIGH_SEED_SERIES_W,NA
winsRank,W_RANK,NA
yearActiveUntil,YEARACTIVETILL,NA
yearDebut,nbaDebutYear,NA
yearDraft,DRAFT_YEAR,NA
yearFounded,YEARFOUNDED,NA
yearSeason,SEASON,yearSeason
yearSeason,season,yearSeason
yearSeason,YEARAWARDED,yearSeason
yearSeasonFirst,FROM_YEAR,NA
yearSeasonFirst,MIN_YEAR,NA
yearSeasonFirst,seasonStart,NA
yearSeasonLast,TO_YEAR,NA
yearSeasonLast,MAX_YEAR,NA
yearSeasonLast,seasonEnd,NA
yearSeasonStart,SEASON,NA
zoneArea,SHOT_ZONE_AREA,NA
zoneBasic,SHOT_ZONE_BASIC,NA
zoneRange,SHOT_ZONE_RANGE,NA
